#options: 1520x2700 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=13700 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:132 out:129 type:P dur:2 cpbdur:2 q:23.57 aq:15.56 tex:1239413 mv:73527 misc:4244 imb:1791 pmb:13281 smb:983 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:23.59 aq:18.61 tex:180731 mv:49266 misc:15267 imb:442 pmb:9619 smb:5994 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:23.60 aq:19.65 tex:71804 mv:32510 misc:15430 imb:275 pmb:6167 smb:9613 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:23.58 aq:19.71 tex:73695 mv:29474 misc:15487 imb:236 pmb:6193 smb:9626 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:23.53 aq:15.59 tex:1182703 mv:73685 misc:4460 imb:1692 pmb:13237 smb:1126 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:23.55 aq:18.46 tex:174407 mv:50539 misc:15350 imb:425 pmb:9408 smb:6222 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:23.56 aq:19.52 tex:64504 mv:30543 misc:15329 imb:253 pmb:5873 smb:9929 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:23.54 aq:19.53 tex:63889 mv:29685 misc:15298 imb:256 pmb:5928 smb:9871 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:23.59 aq:15.65 tex:1215278 mv:75087 misc:4099 imb:1812 pmb:13315 smb:928 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:23.56 aq:18.56 tex:183640 mv:49683 misc:15213 imb:424 pmb:9664 smb:5967 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:23.54 aq:19.68 tex:72117 mv:32570 misc:15553 imb:235 pmb:6296 smb:9524 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:23.58 aq:19.71 tex:71298 mv:30238 misc:15432 imb:230 pmb:6181 smb:9644 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:23.60 aq:15.66 tex:1146835 mv:72767 misc:4622 imb:1700 pmb:13234 smb:1121 d:s ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:23.60 aq:18.58 tex:171388 mv:49866 misc:15370 imb:380 pmb:9332 smb:6343 d:s ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:23.59 aq:19.66 tex:68674 mv:30315 misc:15331 imb:239 pmb:5989 smb:9827 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:23.60 aq:19.56 tex:61195 mv:29668 misc:15233 imb:220 pmb:5824 smb:10011 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:23.59 aq:15.92 tex:1151612 mv:72178 misc:4594 imb:1718 pmb:13113 smb:1224 d:s ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:23.59 aq:18.66 tex:171472 mv:47467 misc:15461 imb:388 pmb:9362 smb:6305 d:s ref:0 ;
